100,,,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,,,DD2: Member Complaints and Changes in the Drug Plan�s Performance,,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
Contract Name,Organization Marketing Name,Parent Organization,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Improving or Maintaining Physical Health,C05: Improving or Maintaining Mental Health,C06: Monitoring Physical Activity,C07: Adult BMI Assessment,C08: Special Needs Plan (SNP) Care Management,C09: Care for Older Adults � Medication Review,C10: Care for Older Adults � Functional Status Assessment,C11: Care for Older Adults � Pain Assessment,C12: Osteoporosis Management in Women who had a Fracture,C13: DiabetesCare � Eye Exam,C14: DiabetesCare � Kidney Disease Monitoring,C15: DiabetesCare � Blood Sugar Controlled,C16: Controlling Blood Pressure,C17: Rheumatoid Arthritis Management,C18: Reducing the Risk of Falling,C19: Plan All-Cause Readmissions,C20: Getting Needed Care,C21: Getting Appointments and Care Quickly,C22: Customer Service,C23: Rating of Health Care Quality,C24: Rating of Health Plan,C25: Care Coordination,C26: Complaints about the Health Plan,C27: Members Choosing to Leave the Plan,C28: Beneficiary Access and Performance Problems,C29: Health Plan Quality Improvement,C30: Plan Makes Timely Decisions about Appeals,C31: Reviewing Appeals Decisions,C32: Call Center � Foreign Language Interpreter and TTY Availability,D01: Call Center � Foreign Language Interpreter and TTY Availability,D02: Appeals Auto�Forward,D03: Appeals Upheld,D04: Complaints about the Drug Plan,D05: Members Choosing to Leave the Plan,D06: Beneficiary Access and Performance Problems,D07: Drug Plan Quality Improvement,D08: Rating of Drug Plan,D09: Getting Needed Prescription Drugs,D10: MPF Price Accuracy,D11: High Risk Medication,D12: Medication Adherence for DiabetesMedications,D13: MedicatHypertension for Hypertension (RAS antagonists),D14: Medication Adherence for Cholesterol (Statins),D15: MTM Program Completion Rate for CMR
KAISER FNDN HP OF THE MID-ATLANTIC STS,Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",0.92,0.97,0.82,0.7,0.78,0.61,1,0,0,0,0,0.93,0.93,1,0.9,0.95,0.83,0.6,0,0.86,0.77,0.87,0.85,0.88,0.85,0.25,0.03,1,0,0.98,0.95,0,0,0,0,0.25,0.03,1,0,0.89,0.93,1,0.04,0.8,0.83,0.79,0.89
"UPPER PENINSULA HEALTH PLAN, LLC",Upper Peninsula Health Plan,"DLP Marquette General Hospital, LLC",0,0,0,0,0,0,0,0.49,0.89,0.73,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.47,0.82,0,0,0,0,1,0,0,0,0.97,0.11,0.81,0.79,0.75,0
"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",Cigna-HealthSpring,CIGNA,0.78,0.63,0.63,0.6,0.79,0.47,0.92,0.52,0.65,0.4,0.63,0.53,0.69,0.88,0.75,0.52,0.78,0.49,0.11,0.83,0.76,0.85,0.85,0.83,0.88,0.42,0.14,0.8,0,0,0,0.88,0.88,0,0,0.42,0.14,0.8,0,0.85,0.93,0.98,0.05,0.75,0.76,0.73,0.39
"CARE N' CARE INSURANCE COMPANY, INC.",Care N' Care Insurance Company,North Texas Specialty Physicians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRILLIUM COMMUNITY HEALTH PLAN,Trillium Advantage,"Agate Resources,  Inc.",0.54,0.58,0.65,0.64,0.73,0.46,0.87,0.07,0.79,0.35,0.73,0.13,0.67,0.9,0.69,0.69,0.71,0.66,0.12,0.78,0.76,0.88,0.82,0.85,0.82,0.05,0.02,0.8,0,0.94,1,0.95,0.88,0,0,0.05,0.02,0.8,0,0.83,0.89,0.99,0.14,0.81,0.81,0.81,0
"SENIOR WHOLE HEALTH, LLC",Senior Whole Health,"SWH Holdings, Inc.",0.8,0.75,0.78,0.72,0.78,0.59,0.97,0.94,0.9,0.96,0.97,0.1,0.81,0.94,0.74,0.7,0.79,0.85,0.11,0.84,0.74,0.87,0.85,0.88,0.84,0,0.04,0.8,0,0,0,0.91,0.9,-1,-1,0,0.04,0.8,0,0.86,0.91,0.98,0.12,0.85,0.82,0.81,0.15
"COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.",0.78,0.74,0.81,0.7,0.77,0.64,0.95,0.85,0.94,0.98,0.98,0.25,0.82,0.96,0.69,0.77,0.73,0.85,0.07,0.84,0.75,0.88,0.87,0.9,0.85,0.03,0.04,0.4,0,0,0,0.76,0.76,0,0,0.03,0.04,0.4,0,0.88,0.91,0.99,0.11,0.84,0.82,0.79,0.57
UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",0.81,0.75,0.78,0.69,0.79,0.6,0.97,0.85,0.9,0.96,0.98,0.15,0.86,0.95,0.84,0.78,0.67,0.8,0.1,0.81,0.74,0.83,0.86,0.88,0.86,0.05,0.09,1,0,0,0,0.96,0.98,0.9,0,0.05,0.09,1,0,0.88,0.92,0.99,0.07,0.79,0.8,0.76,0.43
UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0.31,0.42,0,0,0,0.25,0.98,0.97,0.99,0.99,0.99,0,0.92,0.93,0.85,0,0,0,0.11,0,0,0,0,0,0,0.05,0.06,1,0,0,0,0.96,0.98,0,0,0.05,0.06,1,0,0,0,0.98,0.06,0.89,0.86,0.8,0.51
"BCBS  OF MASSACHUSETTS HMO BLUE, INC.",Blue Cross Blue Shield of Massachusetts,"Blue Cross and Blue Shield of Massachusetts, Inc.",0.84,0.82,0.84,0.73,0.83,0.55,0.94,0,0,0,0,0.29,0.82,0.96,0.9,0.8,0.81,0.53,0.09,0.86,0.78,0.92,0.86,0.87,0.87,0.06,0.05,1,0,0,0,0.84,0.84,0.9,0.67,0.06,0.05,1,0,0.84,0.92,0.95,0.08,0.84,0.85,0.81,0.12
"INDEPENDENT CARE HEALTH PLAN, INC.",iCare,Independent Care Health Plan Inc.,0.79,0.69,0.69,0.61,0.78,0.52,0.94,0.59,0.83,0.89,0.91,0,0.69,0.92,0.69,0.71,0.77,0.85,0.1,0.85,0.82,0.87,0.86,0.87,0.87,0.1,0.07,1,0,0,0,0.69,0.93,0,0,0.1,0.07,1,0,0.86,0.88,0.99,0.08,0.76,0.75,0.74,0.25
GOLDEN STATE MEDICARE HEALTH PLAN,Golden State Medicare Health Plan,Golden State Medicare Health Plan,0.64,0.6,0.76,0.64,0.79,0.49,0.55,0,0,0,0,0,0.59,0.91,0.31,0.26,0,0.56,0.14,0.82,0.75,0.88,0.86,0.87,0.82,0.35,0.09,1,0,0,0,0.92,0.89,0,0,0.35,0.09,1,0,0.85,0.91,0.99,0.13,0.79,0.8,0.79,0.38
TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,Tufts Health Plan or Tufts Medicare Preferred,"Tufts Associated HMO, Inc.",0.88,0.84,0.83,0.74,0.82,0.55,0.96,0.98,0.98,0.99,0.99,0.38,0.87,0.98,0.92,0.9,0.8,0.66,0.08,0.86,0.81,0.92,0.89,0.91,0.88,0.06,0.04,0.4,0,0.97,0.97,0.82,0.94,2.5,0.74,0.06,0.04,0.4,0,0.9,0.92,0.99,0.09,0.84,0.86,0.82,0.25
"BCBS  OF MASSACHUSETTS HMO BLUE, INC.",Blue Cross Blue Shield of Massachusetts,"Blue Cross and Blue Shield of Massachusetts, Inc.",0.84,0.76,0.79,0.69,0.79,0.51,0.97,0,0,0,0,0.31,0.85,0.95,0.87,0.81,0.74,0.68,0.09,0.86,0.79,0.89,0.87,0.86,0.87,0.03,0.05,1,0,1,1,0.84,0.84,0.9,0,0.03,0.05,1,0,0.86,0.91,0.95,0.09,0.83,0.84,0.82,0.12
HEALTH ALLIANCE PLAN OF MICHIGAN,HAP Senior Plus,Henry Ford Health System,0.82,0.74,0.77,0.7,0.76,0.56,0.97,0,0,0,0,0.3,0.73,0.93,0.82,0.76,0.85,0.61,0.1,0.84,0.77,0.86,0.85,0.85,0.84,0.2,0.03,0.8,0,0.97,0.93,0.73,0.69,7.2,0.8,0.2,0.03,0.8,0,0.83,0.91,0.99,0.05,0.79,0.85,0.79,0.43
PRIORITY HEALTH,Priority Health Medicare,Spectrum Health System,0.83,0.75,0.75,0.71,0.8,0.55,0.97,0,0,0,0,0.57,0.74,0.94,0.86,0.77,0.85,0.5,0.08,0.86,0.8,0.91,0.88,0.86,0.86,0.04,0.05,1,0,0.98,0.94,0.92,0.93,0.5,0.77,0.04,0.05,1,0,0.82,0.92,0.99,0.05,0.81,0.85,0.79,0.22
ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,Alliance Medicare PPO,Henry Ford Health System,0.72,0.75,0.76,0.65,0.79,0.53,0.93,0,0,0,0,0,0.72,0.89,0.72,0.67,0.8,0.62,0.1,0.86,0.75,0.86,0.86,0.84,0.85,0.34,0.07,0.8,0,0,0,0.73,0.69,6,0,0.34,0.07,0.8,0,0.83,0.91,0.99,0.07,0.77,0.85,0.8,0.3
HEALTHPLUS OF MICHIGAN,HealthPlus of Michigan,HealthPlus of Michigan,0.85,0.79,0.76,0.64,0.8,0.55,0.95,0,0,0,0,0.39,0.82,0.95,0.87,0.68,0.78,0.6,0.08,0.88,0.77,0.88,0.87,0.87,0.87,0.07,0.03,1,0,1,0.79,0,0,0,0,0.07,0.03,1,0,0.85,0.92,0.98,0.06,0.79,0.82,0.79,0.18
"SIGNATURE ADVANTAGE, LLC",Signature Advantage (HMO SNP),"SA Plan, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0.33,0.37,0,0.64,0.73,0.42,0.94,0.95,0.93,1,1,0.03,0.92,0.89,0.72,0,0,0.79,0.05,0,0,0,0,0,0,0,0.24,1,0,0,0,0.96,0.98,0,0,0,0.24,1,0,0,0,1,0.17,0.88,0.84,0.83,0.53
FALLON COMMUNITY HEALTH PLAN,Fallon Health,Fallon Community Health Plan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1
PRIMEWEST CTRL COUNTY-BASED PURCHASING INITIATIVE,PrimeWest Health,PrimeWest Central County-Based Purchasing Initiati,0.65,0.6,0.8,0.69,0.71,0.49,0.83,0.65,0.8,0.87,0.93,0.13,0.76,0.9,0.76,0.69,0,0.79,0.11,0.87,0.83,0.92,0.87,0.88,0.88,0.04,0.02,1,0,0,0,0.98,0.87,92.5,0.9,0.04,0.02,1,0,0.86,0.94,0.99,0.12,0.85,0.85,0.85,0.32
ITASCA MEDICAL CARE,Itasca Medical Care/IMCare Classic,Itasca County Health & Human Services,0,0,0,0.71,0.82,0,0,0.85,0.77,0.95,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.71,0.68,0,0,0,0,1,0,0,0,0.99,0.09,0.9,0.87,0.82,0.27
SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,South Country Health Alliance,0.61,0.65,0.81,0.68,0.79,0.38,0.9,-1,0.92,0.84,0.97,0,0.82,0.94,0.86,0.82,0,0.76,0.11,0.88,0.8,0.88,0.87,0.88,0.88,0.05,0.01,0.8,0,0,0,0.9,0.9,0,0,0.05,0.01,0.8,0,0.87,0.93,0.98,0.09,0.87,0.88,0.87,0.32
"HEALTHPARTNERS, INC.",HealthPartners,"HealthPartners, Inc.",0.7,0.63,0.85,0.69,0.8,0.52,0.94,0.84,0.95,0.92,0.97,0.16,0.76,0.91,0.88,0.82,0,0.79,0.1,0.89,0.77,0.89,0.86,0.87,0.87,0,0.03,0.6,0,0,0,0.95,0.94,6.4,0,0,0.03,0.6,0,0.85,0.89,0.98,0.08,0.83,0.85,0.81,0.08
BLUE PLUS,Blue Plus,Blue Cross and Blue Shield of Minnesota,0.63,0.66,0.76,0.68,0.79,0.46,0.91,0.72,0.9,0.93,0.95,0.08,0.77,0.89,0.78,0.75,0.8,0.67,0.11,0.83,0.79,0.9,0.86,0.87,0.88,0.04,0.01,0.8,0,0.98,0.75,0.94,0.93,21.2,0.69,0.04,0.01,0.8,0,0.84,0.9,0.99,0.07,0.85,0.85,0.84,0.31
MEDICA INSURANCE COMPANY,Medica Insurance Company,Medica Holding Company,0.76,0.72,0.77,0.66,0.78,0.5,0.92,0,0,0,0,0.18,0.76,0.9,0.84,0.83,0.89,0.54,0,0.83,0.8,0.91,0.85,0.88,0.87,0.06,0.02,1,0,0.87,0.92,0,0,0.6,0.67,0.06,0.02,1,0,0.82,0.91,0.99,0.05,0.86,0.88,0.84,0.31
UCARE MINNESOTA,UCare's MSHO,UCare Minnesota,0.64,0.56,0.79,0.69,0.78,0.46,0.96,0.81,0.89,0.91,0.95,0.19,0.77,0.9,0.78,0.75,0.73,0.79,0.1,0.81,0.78,0.83,0.84,0.85,0.86,0.02,0.02,0.4,0,0,0,0.94,0.91,7.1,0,0.02,0.02,0.4,0,0.84,0.88,0.98,0.1,0.77,0.79,0.77,0.12
MEDICA HEALTH PLANS,Medica Health Plans,Medica Holding Company,0.58,0.6,0.73,0.66,0.85,0.5,0.93,0.83,0.95,0.92,0.96,0.13,0.75,0.89,0.79,0.83,0.77,0.74,0.1,0.87,0.78,0.86,0.85,0.87,0.86,0.05,0.02,1,0,0,0,0.67,0.71,0,0,0.05,0.02,1,0,0.86,0.9,0.98,0.08,0.82,0.83,0.8,0.23
UCARE MINNESOTA,UCare,UCare Minnesota,0.79,0.76,0.81,0.71,0.84,0.53,0.95,0,0,0,0,0.19,0.79,0.96,0.89,0.81,0.88,0.51,0.09,0.89,0.81,0.93,0.87,0.88,0.87,0.05,0.06,0.4,0,0.98,0.96,0.98,0.95,4.3,0.83,0.05,0.06,0.4,0,0.83,0.92,0.98,0.08,0.86,0.87,0.84,0.13
BLUE CROSS AND BLUE SHIELD OF MINNESOTA,Blue Cross and Blue Shield of Minnesota,Blue Cross and Blue Shield of Minnesota,0.8,0.76,0.78,0.71,0.78,0.49,0.9,0,0,0,0,0,0.79,0.89,0.79,0.76,0,0.57,0,0.85,0.81,0.86,0.86,0.88,0.88,0.03,0.01,1,0,0.98,0.79,0,0,0,0,0.03,0.01,1,0,0,0,0,0,0,0,0,0
"GROUP HEALTH PLAN, INC. (MN)",HealthPartners,"HealthPartners, Inc.",0.81,0.82,0.86,0.67,0.8,0.55,0.96,0,0,0,0,0.23,0.81,0.96,0.93,0.87,0.93,0.54,0,0.87,0.83,0.93,0.89,0.91,0.87,0.03,0.02,0.6,0,1,0.93,0,0,2.3,0,0.03,0.02,0.6,0,0.88,0.94,0.99,0.07,0.87,0.89,0.86,0.08
"FALLON HEALTH WEINBERG, INC",Fallon Health Weinberg,Fallon Community Health Plan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUMANA MEDICAL PLAN OF UTAH, INC.","Humana Medical Plan of Utah, Inc.",Humana Inc.,0.64,0.7,0.75,0.7,0.77,0.53,0.98,0,0,0,0,0,0.56,0.91,0.81,0.8,0.7,0.48,0.08,0.84,0.78,0.82,0.86,0.82,0.87,0.32,0.2,0.6,0,0,0,0.96,0.98,3.4,0,0.32,0.2,0.6,0,0.84,0.89,0.98,0.06,0.77,0.78,0.77,0.36
"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.",'Ohana Health Plan,"WellCare Health Plans, Inc.",0.65,0.51,0.69,0.71,0.8,0.59,0.86,0.54,0.79,0.73,0.88,0.19,0.7,0.9,0.65,0.69,0.79,0.69,0.09,0.76,0.7,0.82,0.8,0.8,0.82,0.1,0.1,0,0,0,0,0.59,0.55,25.1,0.78,0.1,0.1,0,0,0.81,0.86,0.99,0.07,0.71,0.72,0.7,0.07
"AETNA BETTER HEALTH, INC. (IL)",Aetna Better Health Premier Plan,Aetna Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UNITEDHEALTHCARE COMMUNITY PLAN OF OHIO, INC.",UnitedHealthcare Community Plan,"UnitedHealth Group, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOLINA HEALTHCARE OF SOUTH CAROLINA, INC.",Molina Healthcare of South Carolina,"Molina Healthcare, Inc.,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPTIMA HEALTH PLAN,Optima Medicare,Sentara Health Care (SHC),0.75,0.89,0,0,0,0,0.99,0,0,0,0,0,0.76,0,0.92,0.82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.16,0.14,0,0,0,0,1,0,0,0,0.99,0.07,0.78,0.82,0.74,0.41
"HEALTH ALLIANCE - MIDWEST, INC.",Health Alliance Medicare,The Carle Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAREMORE HEALTH PLAN OF ARIZONA, INC.","CareMore Health Plan of Arizona, Inc.",Anthem Inc.,0.8,0.75,0.68,0.65,0.73,0.56,0.95,0.59,0.94,0.77,0.94,0.68,0.69,0.96,0.81,0.79,0.77,0.6,0.07,0.77,0.72,0.89,0.83,0.85,0.8,0.19,0.13,1,0,0.99,0.91,0.93,0.96,0.6,0,0.19,0.13,1,0,0.86,0.9,0.99,0.04,0.77,0.77,0.73,0.34
"ESSENCE HEALTHCARE, INC.",Essence Healthcare,Essence Group Holdings Corporation,0.82,0.79,0.81,0.66,0.85,0.55,0.99,0,0,0,0,0.31,0.77,0.97,0.89,0.77,0.72,0.58,0.08,0.88,0.8,0.91,0.89,0.91,0.89,0.06,0.03,0.8,0,0.91,0.84,0.99,0.93,1.5,0,0.06,0.03,0.8,0,0.92,0.94,0.99,0.06,0.8,0.83,0.78,0.22
"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,0.69,0.67,0.74,0.69,0.81,0.51,0.96,0.7,0.9,0.84,0.95,0.29,0.69,0.94,0.8,0.78,0.76,0.58,0.09,0.83,0.77,0.86,0.85,0.84,0.85,0.28,0.12,0.6,0,1,0.91,0.96,0.98,0.7,0.81,0.28,0.12,0.6,0,0.85,0.9,0.98,0.05,0.79,0.8,0.78,0.28
"UNITEDHEALTHCARE OF THE MIDWEST, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0.69,0.67,0.74,0.66,0.79,0.49,0.95,0,0,0,0,0.48,0.62,0.92,0.8,0.69,0.75,0.6,0.09,0.81,0.79,0.86,0.86,0.81,0.88,0.19,0.17,1,0,1,1,0.96,0.98,0.6,0,0.19,0.17,1,0,0.82,0.91,0.98,0.06,0.78,0.81,0.77,0.3
"COVENTRY HEALTH CARE OF MISSOURI, INC","Coventry Health Care of Missouri, Inc.",Aetna Inc.,0.78,0.76,0.77,0.69,0.83,0.5,0.98,0,0,0,0,0.41,0.73,0.91,0.86,0.83,0.82,0.48,0.09,0.83,0.8,0.88,0.85,0.82,0.87,0.12,0.07,0.6,0,0.97,0.89,0.99,0.98,0.4,1,0.12,0.07,0.6,0,0.83,0.91,0.98,0.09,0.8,0.83,0.79,0.26
"COVENTRY HEALTH CARE OF MISSOURI, INC",Coventry Health Care,Aetna Inc.,0.78,0.79,0.73,0.74,0.8,0.46,1,0,0,0,0,0.45,0.73,0.88,0.81,0.85,0.9,0.49,0.11,0.86,0.81,0.89,0.88,0.86,0.88,0.09,0.09,0.6,0,1,0.81,0.99,0.98,0.5,0,0.09,0.09,0.6,0,0.86,0.92,0.98,0.09,0.79,0.8,0.78,0.26
"COVENTRY HEALTH CARE OF KANSAS, INC.",Coventry Health Care,Aetna Inc.,0.7,0.67,0.74,0.65,0.76,0.52,0.97,0,0,0,0,0.47,0.71,0.92,0.82,0.78,0.83,0.63,0.09,0.84,0.77,0.85,0.86,0.83,0.88,0.14,0.12,0.6,0,1,1,0.99,0.98,0.6,0,0.14,0.12,0.6,0,0.82,0.89,0.98,0.09,0.73,0.77,0.75,0.25
"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",Cigna-HealthSpring,CIGNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.81,0.83,0,0,0,0,1,0,0,0,0.98,0.04,0.72,0.73,0.66,0
NEW WEST HEALTH SERVICES,New West Health Services,New West Health Services,0.7,0.56,0.74,0.67,0.8,0.52,0.76,0,0,0,0,0.19,0.65,0.89,0.54,0.64,0.86,0.52,0.09,0.84,0.79,0.9,0.87,0.86,0.87,0.03,0.07,1,0,0.88,0.73,0.71,0.67,-1,-1,0.03,0.07,1,0,0.85,0.93,0.99,0.06,0.82,0.86,0.82,0.17
"WELLCARE OF NEW YORK, INC.",WellCare Advocate Complete FIDA,"WellCare Health Plans, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEHEALTHY FLORIDA, INC.",Florida Blue Preferred HMO,Guidewell Mutual Holding Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0.71,0.58,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.95,0.96,0,0,0,0,0.8,0,0,0,0.97,0.12,0.86,0.81,0.76,0
"QUALITY HEALTH PLANS OF NEW YORK, INC.",QUALITY HEALTH PLANS,"QHP Financial Group, Inc.",0,0,0,0,0,0,0,0.41,0.87,0.81,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.98,0.97,0,0,0,0,0.8,0,0,0,0.98,0.03,0.73,0.79,0.65,0
AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,Universal American Corp.,0.7,0.65,0.75,0.67,0.79,0.42,0.93,0,0,0,0,0.15,0.69,0.91,0.74,0.7,0.84,0.57,0.09,0.87,0.78,0.9,0.85,0.85,0.83,0.11,0.09,1,0,0.95,0.9,1,0.95,0,0,0.11,0.09,1,0,0.83,0.92,0.98,0.07,0.8,0.84,0.8,0.35
"UNITEDHEALTHCARE OF THE MIDLANDS, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0.61,0.66,0.84,0.65,0.79,0.42,0.98,0,0,0,0,0.52,0.72,0.94,0.82,0.72,0.84,0.61,0.1,0.87,0.8,0.88,0.89,0.88,0.89,0.16,0.07,1,0,0,0,0.96,0.98,0,0,0.16,0.07,1,0,0.85,0.92,0.98,0.06,0.77,0.81,0.78,0.46
AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY,Universal American Corp.,Universal American Corp.,0.68,0.66,0.72,0.69,0.81,0.42,0.94,0,0,0,0,0.22,0.64,0.86,0.72,0.71,0.84,0.56,0.1,0.86,0.76,0.85,0.85,0.86,0.87,0.11,0.06,1,0,0.95,0.88,1,0.95,0,0,0.11,0.06,1,0,0,0,0.98,0.06,0.83,0.85,0.81,0.34
"ANTHEM HEALTH PLANS, INC.",Anthem Blue Cross and Blue Shield,Anthem Inc.,0.71,0.68,0.72,0,0,0.54,0.9,0,0,0,0,0,0.68,0.87,0.65,0.73,0,0.56,0.09,0.85,0.77,0.81,0.84,0.79,0.86,0.46,0.12,1,0,0,0,0.99,0.98,0,0,0.46,0.12,1,0,0.79,0.88,0.99,0.07,0.81,0.83,0.77,0.1
MOLINA HEALTHCARE OF WISCONSIN,Molina Healthcare of Wisconsin,"Molina Healthcare, Inc.,",0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.9,0.94,0,0,0,0,1,0,0,0,0.99,0.04,0,0.82,0.72,0.63
"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","Sierra Health and Life Insurance Company, Inc.","UnitedHealth Group, Inc.",0.67,0.55,0.65,0.67,0.76,0.5,0.6,0,0,0,0,0.15,0.61,0.86,0.46,0.35,0,0.47,0.1,0.87,0.77,0.9,0.84,0.8,0.85,0.13,0.15,1,0,0,0,0.96,0.98,5.4,0,0.13,0.15,1,0,0.79,0.89,0.99,0.06,0.79,0.76,0.75,0.41
"HOMETOWN HEALTH PLAN, INC.",Senior Care Plus,Renown Health,0.67,0.65,0.68,0.73,0.81,0.47,0.92,0,0,0,0,0,0.57,0.86,0.79,0.81,0.71,0.5,0.07,0.86,0.77,0.91,0.85,0.87,0.81,0.38,0.05,1,0,0,0,0.97,0.9,19,0,0.38,0.05,1,0,0.86,0.92,0.99,0.06,0.78,0.8,0.76,0.24
PRIMEWEST CTRL COUNTY-BASED PURCHASING INTIATIVE,PrimeWest Health,PrimeWest Central County-Based Purchasing Initiati,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.98,0.87,0,0,0,0,1,0,0,0,0.99,0,0,0.83,0.85,0.22
"HEALTH PLAN OF NEVADA, INC.","Health Plan of Nevada, Inc.","UnitedHealth Group, Inc.",0.74,0.67,0.71,0.67,0.79,0.46,0.96,0,0,0,0,0.51,0.76,0.98,0.85,0.83,0.85,0.55,0.09,0.73,0.65,0.89,0.79,0.83,0.81,0.11,0.09,1,0,0.98,0.96,0.96,0.98,1.1,1,0.11,0.09,1,0,0.84,0.88,0.98,0.04,0.8,0.81,0.77,0.38
HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0.65,0.63,0.76,0.61,0.79,0.43,0.87,0,0,0,0,0.18,0.5,0.88,0.71,0.71,0.79,0.54,0.1,0.87,0.77,0.86,0.87,0.86,0.87,0.26,0.2,0.6,0,0.83,0.92,0.96,0.98,2,0,0.26,0.2,0.6,0,0.88,0.92,0.98,0.06,0.78,0.8,0.77,0.27
"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,0.75,0.74,0.73,0.67,0.77,0.46,1,0.58,1,0.96,1,0.43,0.79,0.94,0.89,0.77,0.65,0.64,0.08,0.81,0.67,0.81,0.81,0.84,0.81,0.12,0.06,0.6,0,1,0.93,0.96,0.98,0,0,0.12,0.06,0.6,0,0.85,0.91,0.98,0.03,0.79,0.8,0.77,0.26
"HOMETOWN HEALTH PLAN, INC.",Senior Care Plus,Renown Health,0.74,0.71,0.76,0.71,0.79,0.49,0.97,0,0,0,0,0.14,0.67,0.9,0.83,0.81,0.78,0.49,0.11,0.84,0.77,0.92,0.86,0.9,0.84,0.13,0.04,0.8,0,1,0.83,0.97,0.9,26.8,0,0.13,0.04,0.8,0,0.86,0.91,0.99,0.06,0.75,0.81,0.78,0.21
